grp,vcov,sdcor,Percent,Rmse,Heritability,R_squared,Env.DAP,Vegetation.Index,DAP,Year,Env
Pedigree,8.40080285772317e-05,0.00916558937424275,1.18,0.0260417583650928,0.172,0.886637614816926,TXH3.2020.10,TGI,10,2020,TXH3.2020
Pass,0.000457787640930278,0.0213959725399496,6.42,0.0260417583650928,0.172,0.886637614816926,TXH3.2020.10,TGI,10,2020,TXH3.2020
Range,0.00577499072973609,0.0759933597739703,81.01,0.0260417583650928,0.172,0.886637614816926,TXH3.2020.10,TGI,10,2020,TXH3.2020
Replicate,3.63617818559249e-06,0.00190687655226879,0.05,0.0260417583650928,0.172,0.886637614816926,TXH3.2020.10,TGI,10,2020,TXH3.2020
Residual,0.000808107130544274,0.0284272251643433,11.34,0.0260417583650928,0.172,0.886637614816926,TXH3.2020.10,TGI,10,2020,TXH3.2020
Pedigree,2.75217878264222e-05,0.00524612121728255,3.57,0.0142533433171608,0.185,0.685534316086372,TXH3.2020.10,VEG,10,2020,TXH3.2020
Pass,7.06359302707213e-05,0.00840451844371355,9.18,0.0142533433171608,0.185,0.685534316086372,TXH3.2020.10,VEG,10,2020,TXH3.2020
Range,0.000429601193489482,0.0207268230438116,55.8,0.0142533433171608,0.185,0.685534316086372,TXH3.2020.10,VEG,10,2020,TXH3.2020
Replicate,6.02447771888572e-12,2.45448115064788e-06,0,0.0142533433171608,0.185,0.685534316086372,TXH3.2020.10,VEG,10,2020,TXH3.2020
Residual,0.000242091555555596,0.0155592916148389,31.45,0.0142533433171608,0.185,0.685534316086372,TXH3.2020.10,VEG,10,2020,TXH3.2020
Pedigree,1.12309888482052e-05,0.00335126675276755,0.3,0.0161859157018962,0.071,0.921316525453356,TXH3.2020.10,NRMBI,10,2020,TXH3.2020
Pass,9.12500435586988e-05,0.00955248886723763,2.43,0.0161859157018962,0.071,0.921316525453356,TXH3.2020.10,NRMBI,10,2020,TXH3.2020
Range,0.00329491824123503,0.0574013783914204,87.84,0.0161859157018962,0.071,0.921316525453356,TXH3.2020.10,NRMBI,10,2020,TXH3.2020
Replicate,5.86527772875819e-05,0.00765851012192201,1.56,0.0161859157018962,0.071,0.921316525453356,TXH3.2020.10,NRMBI,10,2020,TXH3.2020
Residual,0.00029515826110617,0.0171801705784946,7.87,0.0161859157018962,0.071,0.921316525453356,TXH3.2020.10,NRMBI,10,2020,TXH3.2020
Pedigree,5.59268570306595e-06,0.00236488598098639,8.8,0.00625690202273501,0.195,0.274997984737465,TXH3.2020.10,MSRGR,10,2020,TXH3.2020
Pass,5.10432457167519e-06,0.00225927523150129,8.03,0.00625690202273501,0.195,0.274997984737465,TXH3.2020.10,MSRGR,10,2020,TXH3.2020
Range,6.77707274068643e-06,0.00260328114898995,10.67,0.00625690202273501,0.195,0.274997984737465,TXH3.2020.10,MSRGR,10,2020,TXH3.2020
Replicate,0,0,0,0.00625690202273501,0.195,0.274997984737465,TXH3.2020.10,MSRGR,10,2020,TXH3.2020
Residual,4.60685026951903e-05,0.00678737819008123,72.5,0.00625690202273501,0.195,0.274997984737465,TXH3.2020.10,MSRGR,10,2020,TXH3.2020
Pedigree,2.27289733371585e-06,0.00150761312468281,8.99,0.00391665128212293,0.201,0.283075993005001,TXH3.2020.10,TNDGR,10,2020,TXH3.2020
Pass,2.17354535961905e-06,0.00147429486861314,8.6,0.00391665128212293,0.201,0.283075993005001,TXH3.2020.10,TNDGR,10,2020,TXH3.2020
