"Domain","Vegetation.Index","FPC","FPC_ID","Env","N","N_complete","Cor","Status"
"DAP","BGI_new","FPC3","FPC3_BGI_new","MIH1.2020",414,414,0.0142266692752625,"ok"
"DAP","BGI_new","FPC3","FPC3_BGI_new","MNH1.2020",395,395,0.253460528095341,"ok"
"DAP","BGI_new","FPC3","FPC3_BGI_new","MNH1.2021",415,415,0.0182720863493918,"ok"
"DAP","BGI_new","FPC3","FPC3_BGI_new","MOH1.2020",1006,1006,0.0649645973300192,"ok"
"DAP","BGI_new","FPC3","FPC3_BGI_new","NEH1.2021",246,246,-0.0219990601012043,"ok"
"DAP","BGI_new","FPC3","FPC3_BGI_new","TXH1.2020",246,246,-0.0207213887127892,"ok"
"DAP","BGI_new","FPC3","FPC3_BGI_new","TXH1.2021",246,246,-0.268367075960544,"ok"
"DAP","BGI_new","FPC3","FPC3_BGI_new","TXH2.2020",246,246,-0.112495154098216,"ok"
"DAP","BGI_new","FPC3","FPC3_BGI_new","TXH2.2021",246,246,0.256269240679365,"ok"
"DAP","BGI_new","FPC3","FPC3_BGI_new","TXH3.2020",266,266,-0.179605314985954,"ok"
"DAP","BGI_new","FPC3","FPC3_BGI_new","TXH3.2021",245,245,-0.383041911894305,"ok"
"DAP","BGI_new","FPC3","FPC3_BGI_new","WIH1.2020",394,394,-0.169270589785399,"ok"
"DAP","BGI_new","FPC3","FPC3_BGI_new","WIH1.2021",398,398,-0.0288681495775561,"ok"
"DAP","BGI_new","FPC3","FPC3_BGI_new","WIH2.2020",1127,1127,-0.0106911139702097,"ok"
"DAP","BGI_new","FPC3","FPC3_BGI_new","WIH2.2021",1137,1137,-0.0497393018365468,"ok"
"DAP","BGI_new","FPC3","FPC3_BGI_new","WIH3.2020",415,415,-0.00818827560350834,"ok"
"DAP","BGI_new","FPC3","FPC3_BGI_new","WIH3.2021",397,397,-0.0181889070923005,"ok"
"DAP","BGI_new","FPC4","FPC4_BGI_new","DEH1.2020",1142,1142,-0.0235938516065368,"ok"
"DAP","BGI_new","FPC4","FPC4_BGI_new","IAH4.2021",1128,1128,0.105011864211699,"ok"
"DAP","BGI_new","FPC4","FPC4_BGI_new","MIH1.2020",414,414,0.0414863013017702,"ok"
"DAP","BGI_new","FPC4","FPC4_BGI_new","MNH1.2020",395,395,-0.105112801847134,"ok"
"DAP","BGI_new","FPC4","FPC4_BGI_new","MNH1.2021",415,415,-0.0707033199935925,"ok"
"DAP","BGI_new","FPC4","FPC4_BGI_new","MOH1.2020",1006,1006,-0.0630663155205801,"ok"
"DAP","BGI_new","FPC4","FPC4_BGI_new","NEH1.2021",246,246,-0.0251380876304562,"ok"
"DAP","BGI_new","FPC4","FPC4_BGI_new","TXH1.2020",246,246,0.0213004395534582,"ok"
"DAP","BGI_new","FPC4","FPC4_BGI_new","TXH1.2021",246,246,0.1461381472054,"ok"
"DAP","BGI_new","FPC4","FPC4_BGI_new","TXH2.2020",246,246,-0.145574960638295,"ok"
"DAP","BGI_new","FPC4","FPC4_BGI_new","TXH2.2021",246,246,-0.199916883056058,"ok"
"DAP","BGI_new","FPC4","FPC4_BGI_new","TXH3.2020",266,266,-0.170929747338987,"ok"
"DAP","BGI_new","FPC4","FPC4_BGI_new","TXH3.2021",245,245,-0.122106629843925,"ok"
"DAP","BGI_new","FPC4","FPC4_BGI_new","WIH1.2020",394,394,0.120017119322416,"ok"
"DAP","BGI_new","FPC4","FPC4_BGI_new","WIH1.2021",398,398,-0.0515347491652327,"ok"
"DAP","BGI_new","FPC4","FPC4_BGI_new","WIH2.2020",1127,1127,-0.0193108385804875,"ok"
"DAP","BGI_new","FPC4","FPC4_BGI_new","WIH2.2021",1137,1137,0.0320136767071383,"ok"
"DAP","BGI_new","FPC4","FPC4_BGI_new","WIH3.2020",415,415,0.0365351752398859,"ok"
"DAP","BGI_new","FPC4","FPC4_BGI_new","WIH3.2021",397,397,0.00411862355800155,"ok"
"DAP","BGI_new","FPC5","FPC5_BGI_new","DEH1.2020",1142,1142,-0.190149256517854,"ok"
"DAP","BGI_new","FPC5","FPC5_BGI_new","IAH4.2021",1128,1128,-0.00951306943128496,"ok"
"DAP","BGI_new","FPC5","FPC5_BGI_new","MIH1.2020",414,414,0.027070998269583,"ok"
"DAP","BGI_new","FPC5","FPC5_BGI_new","MNH1.2020",395,395,-0.0164846992253288,"ok"
"DAP","BGI_new","FPC5","FPC5_BGI_new","MNH1.2021",415,415,-0.0644299556341314,"ok"
