Method,Model,Time_Domain,Series,CV,Seed,Fold,Environment,N,Correlation,RMSE
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,2,1,TXH2.2020,45,0.379514157335452,2.27848424092174
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,2,1,TXH2.2021,188,0.257644822056451,2.73320204627469
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,2,1,TXH2.2021,45,0.244526534794619,3.24915398754307
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,2,1,TXH3.2020,191,-0.0364357837818926,1.58388636168397
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,2,1,TXH3.2020,45,-0.147521018803822,1.76748150303216
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,2,1,TXH3.2021,188,0.485178009901907,4.55496984324907
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,2,1,TXH3.2021,45,0.190025713092129,4.46544846064798
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,2,1,WIH1.2020,186,0.493478127793766,1.93707534670041
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,2,1,WIH1.2020,45,0.490800955297588,1.66570664468775
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,2,1,WIH1.2021,188,0.371665035140144,3.60501946868652
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV00,2,1,WIH1.2021,45,0.43011618150667,3.20080290222296
BGLR,M10.G.P.W-Int,DAP,M10 DAP,CV0,2,1,WIH2.2020,524,0.212366304122769,2.79460155659346
